sentiment,review_body,product_category
-1,"I'm 5'4""  32c and 125 lbs. i ordered the size 4p and while the color and fabric is pretty  the back and front bodice were much to low to wear a bra even if i were to shorten the straps. it was also very tight across my ribs. despite ordering a petite  the hem was much too long. i ended up returning it.",Dresses
-1,This dress was my absolute favorite recent retailer purchase. the fit is so flattering. i think this dress runs true to size-i usually wear a size 6 in hd in paris  and that's what size i ordered. i expect i could have fit in a 4 but the 6 is comfortable. i am 5'4'' but i ordered the regular length and it hit just above the knee. i agree that it could use pockets but no need for lining. however-- i just laundered this dress for the first time-hand wash  lay flat to dry (as recommended) and this dr,Dresses
-1,"The lace and fit were good. but the length seemed awkward to me given how boxy and flowy-ish the dress is. it felt like a baby doll with sleeves or something. and i hated the ""outside"" middle material  hated it. it felt cheap and odd when compared to the lace. maybe i was just not in the right demographic for this piece.",Dresses
-1,I really wanted to love this dress  but i couldn't. it ran large and heavy. rather than a sleek cocktail dress  it felt more like a heavy sack once i put it on. there was one upside: the drape in the back did not appear to drop quite as low  so finding a bra to wear under the dress might be easier than if it draped as low as it appears in the picture.,Dresses
-1,I had to review this because i purchased before any reviews were up and now that i've received this dress i'm appalled by all the positive reviews!!! this dress is hideous in person. seriously hideous. and even if you can get past the drapery fabric  it's incredibly restricting. the picture online is so misleading. the dress isn't even an ivory it's more of a pea green! so disappointed.,Dresses
-1,This dress is so short! i double checked to make sure i didn't get a petite by mistake.  i'm 5'10 and ordered an extra small because of the deep v neck. it fit well on top  but  you could see my underwear in the front. seriously  i dont even think miley cirus would wear it that short. the lace was really beautiful so i was disappointed that it didn't work out.,Dresses
-1,"But like other reviewers said  it looks nothing like the picture of the model. i am 5'3"" and 110 lbs  i usually wear an xs in maeve and i ordered the xs petite - the straps are not adjustable so the top part of the dress is up too high and then there is just so much material  it looks like i'm 6 months pregnant. and i usually love loose dresses like this  but the way this falls really does make you look like you are hiding a sack of potatoes. so bummed  because the material is beautiful and i lo",Dresses
-1,I'm not sure if i only received part of this dress as a mistake  but i received the chiffon shell  but there was no slip as pictured. it makes it kind of difficult to wear when the entire thing is sheer. i had high hopes  but sadly  this is being returned. the xs is out of stock now  so i can't even reorder. bummer.,Dresses
-1,It is so cute in the picture but wasn't flattering on me. it also felt like i couldn't raise my arms while wearing it. i love retailer and will be a forever fan  but this dress just wasn't for me.,Dresses
0,I chose this dress to try to flatter an hourglass figure  but was disappointed. the fabric is a beautiful soft  fine silk  but unforgiving. the cut is not truly a wrap  and  with a fixed thin elastic waistband  was too short waisted for me. while the model looks elongated  the thin line under my bust created two poofy sections... not flattering at all. while i was drawn to the shape for my body type  it may be better suited to another. happy hunting!,Dresses
0,I wanted to wear this for my journey to cuncun and i wanted the blight pink as photo however it was a dark pink which didn't fit to me unfortunately... but the design was pretty!,Dresses
0,"I'm usually a 6 in dresses and the 6 here fit okay. loose but still flattering a little long for a sundress. i was unhappy with it looking a little frumpy and being so loose under the arms all my bras showed . i took it back to the store and after reading the reviews here decided to try the smaller sizes...well multiple dresses later i ended up buying a size 2 petite!!! and i'm 5'9"". the 2 reg and petite still had the loose gathering look to the top but both fit much better under the arms so tha",Dresses
0,I liked it online  but i didn't want to pay shipping for something i wasn't sure if it is good. when i saw one size 4 in the store  i was excited to try it on. however  it didn't quite meet the expectation. the dress fits a little loose (donna morgan size 2 fits me better)  and it is not lined at all. the separate top piece is just way too big without any shape. there must be a clip on the back of the top shown on the model to make it look smaller. i love the blue floral print  but that is the o,Dresses
0,When i received the dress i went to try it on and one of the loops for the string to cinch the dress broke. guess that's gonna have to go back,Dresses
0,I fell in love with this dress online  but it just doesn't look as nice in person. first of all  it's huge. i usually take a 4-6 in dresses. i ordered a size 4 in this  and it was like a sack on me. i would have needed at least two sizes smaller. however  after seeing it in person  i didn't love it enough to order a smaller size to get a better fit.,Dresses
0,I personally love this romper. there's a lot of fabric to it  so it feels lush and substantial. and the pockets! they're so roomy i actually couldn't find my phone for a hot second. the crotch of the legs (because  yes  this thing is actually pants) is very long and so i was very comfortable sitting.    the two things i don't love about this piece include the downfall of all rompers imo: not bathroom-break friendly. you basically have to disrobe. and since the legs are so long  you end up clingi,Dresses
0,I thought this dress was very cute on the model  however it was way too tight across the chest for me. going up a size would mean it would be too roomy everywhere else. also  fabric wasn't great.,Dresses
0,This looks great on the model and is probably beat suited for someone that is tall and thin with small hips.,Dresses
1,This dress is gorgeous and feels so soft! looks great with booties and flats! can be paired with so much! jackets  scarfs  long necklaces! so glad i bought it! i did down size to a small from my usual medium! and got the regular instead of petite! fit great,Dresses
1,This dress is super soft  beautiful on  perfect fit!,Dresses
1,I wore this dress to work with a tan pair of booties and the compliments started upon entry and did not stop till the end of the day. very feminine and comfy all at once.,Dresses
1,I am normally a small or xs with retailer clothing. i saw the previous review that this dress runs small  but the medium was sold out. i am heartbroken i have to return and can't get my size since they are all gone! was aiming to wear this to a high school reunion.,Dresses
1,I couldn't wait to try this dress on when i first saw it featured. it is stunning! i love the red lace over-layed with a blue slip. it adds a fun color contrast to the piece. i am usually a size 6 in retailer clothing and found this one comfortably true to size. this dress has a very renaissance chic quality which is very feminine  flirty and unique. a great find for fall/winter parties. i can't wait to wear it!    if i had to find a fault with this dress  it's the lack of pockets. retailer d,Dresses
1,This dress is stunning- vibrant colors and flirty feel to it. i got the small and i am a 34b/27 pants  132 lbs- great fit. i only question two things- am i tall enough to pull off the extra fabric in the back and what the heck do you where for a bra? those two considerations are why i didn't give it 5 stars.,Dresses
1,Great job from the fabricators in creating such a gorgeous print on light-as-air silk! i'm so happy with the dress and can stare at it for hours  that's how pretty it is. the fit is perfect on me and disguised my figure flaws since it's an a-line skirt that doesn't cling. yes  the skirt is sheer and unlined and for the price a slip should have been included. fortunately i own a silky half slip that complements nicely. i'm a top heavy 36dd  large rib cage  140# with a square waist and no hips and,Dresses
1,This dress is so much more stunning in person than in the photos. it's incredibly flattering  and i like how it pans out at the bottom. it also has pockets! although it has a built-in slip  it is a little see-through  so keep that in mind  otherwise  i can't wear it enough.,Dresses
1,Great purchase. true to size. so flattering. love it simplicity.. buy it if you enjoy compliments!,Dresses
-1,"Nice fabric  great color  would be lovely ... on someone with a straight-and-narrow body type. for ladies with curves  take a pass--too much like maternity wear  and not in that elegantly slouchy kind of way. the straight-up ""is she or isn't she"" kind of way.",Fine gauge
-1,I tried on this sweater...love the flowing top  and it looked like the seam would hit right under my bustline.  wrong.  the seam came right across my bust on a medium; sized up to a large  same thing. this shouldn't happen! not sure who this would actually flatter.  the sweater is high quality  and the colors are perfect. the fit needs work.,Fine gauge
-1,Didn't like at all. itchy fabric  looked good on model but on on busty girl.,Fine gauge
-1,I ordered the in the emerald green and it was sent to me with a dime size hole in the sleeve. i am very disappointed  because i love the sweater. by the time it arrived  it was sold out in my size. now  i cannot exchange it for one that is not damaged. if the sweater was not damaged  i would recommend this product.,Fine gauge
-1,Really wanted to luv this top buttt it ran small in arm length & in the front  bottom...backside was perfect coverage...also most important this top is see-through! item as pictured is not accurate!,Fine gauge
-1,I wanted this sweater to work but sadly it failed. first  the pink was way to sheer for my liking. the sheerness caused a weird color overlap on the stomach area. then the band at the bottom was too tight causing a weird ballooning affect. a shirt underneath could work but it takes away from the beauty of the knit. the soft pink is gorgeous but not good for medium to light skinned folks.,Fine gauge
-1,I wanted to love this sweater and it has some nice distinctive features that make it more interesting than your average cardigan. unfortunately  however  i found that flared in an unflattering manner over my stomach. the chest fit well - though it was very low cut - but then if i buttoned the sweater it made me look like at least three sizes larger.  the quality seemed okay  but a bit thin and i was afraid that this would not hold up for long.,Fine gauge
-1,This has such awful proportions. i'm 5'0 and 100 lbs  ordered xxs petite (in the neutral color). the seam at the bust literally hits in the middle of my bust!! it looks very unflattering  and it's very pronounced. i'm only 5'0 and already the seam hits at such a high point on me. below the seam the sweater is all scrunched up where it's sewed  and it balloons outward and is very square from there down. very shapeless sweater and not flattering at all unless you have your arms by your sides to hi,Fine gauge
-1,"Loved this top online but when i tried it on it was shorter than expected so only fitting for high waisted bottoms and much more boxy than it appeared online. i wish to high heaven that this top came in a more ""normal"" cut. hip length and slimming  the fabric and collar are beautiful!",Fine gauge
0,The quality of the fabric is soft and thick and well made. loved everything about it but if you are ample in the chest  it is snug and does not hang and drape as well like on the model  so you may want to size up. i am sending it back as the fit is not flattering on me for the price. someone with a boyish no-curve figure would look dynamite in it!,Fine gauge
0,"Tried this on in the ""onsie"" area of retailer store. i usually am between a medium and a large. the medium fit fine. the material in this top is substantial - very thick and soft but it is very thick as a warning. more for a pretty cool spring evening vs the heat of the summer in chicago. not sure how much the material would stretch out either. as it seems like it could be the type. also  it is dry clean only  and on such a casual top  that is a real deal killer for me.     regarding the style of",Fine gauge
0,This is a beautiful tunic. i wanted it to work so much but i couldn't get past the itch factor. also  the sleeves were shorter than i expected. when i wore a light tee underneath  it didn't move well and looked bulky so sadly it went back to the store. if the material doesn't bother you  buy this. would look great w/ tights/leggings and boots.,Fine gauge
0,Loved this top  but had to return it. the collar is gorgeous but terrible quality,Fine gauge
0,This is a thick sweater. it is pretty  but has a short length.,Fine gauge
0,This thing sheds so much it's almost unuseable but i used an entire roll of sticky roller and got it to the point where i could wear it with only a glob of fuzz on my underwear not other people's couches. it's cute and fits well other than that. buy a sticky roller!,Fine gauge
0,So when i saw a sweater with a big llama face on the front of it  i knew it must be mine. i ordered it and eagerly awaited its arrival. while the llama print and color of the sweater are ah-mazing  the fit of the sweater leaves something to be desired. i'm a 36 dd and mostly a size l  so that's what i ordered. it wasn't snug  but it didn't have the cut to pull off the oversized drapey look  so the areas where it was loose looked...strange. the sleeves were really long too  but i could have rolle,Fine gauge
0,"I'm usually a small (5'5""  116 lbs  long torso)  but the x-small fit well. the black does look see-through in the pictures  but i figured i could wear a cami with it. it is see-through in person if you are up close  mainly in the back and arms since the front has extra fabric in places. however  it is rather short  possibly because it is an x-small  and i'll need a short cami to fit under it or will have to have a cami hanging out of the bottom  which drapes nicely and a cami may mar that effect",Fine gauge
0,This sweater looks soft and flowy on the model  but in the store it is rather stiff lace in the back and very plain in the front. i did not like the ribbing on the front bottom of the sweater because it pulled in places and didn't lie flat. way too expensive for what you are getting.,Fine gauge
1,"I like it a lot - very soft  just enough detail to keep it interesting  but still a classic look. i got this in a small and it's a little short on me compared to the model. i'm 5'6""  long-waisted  34b (small side)  145lbs (carry bulk of my weight in legs.so trim on top). i will keep the small but also get a medium; the small ties a little high and i also want a sweater that can cover my shirt tails when i don't tuck them in.. i got it in black  so can't comment on the orange or red.",Fine gauge
1,This top looks as pictured on the model. the color is great and true to the pictures with the light faded spots  which i really like and make it more interesting. however  i am on the fence about keeping it due to the itchiness of the fabric. the itching is mainly on the arm holes as it is tight to the skin. i wanted this top for when i'm feeling a comfy casual look. however  i'm not sure how comfy i'll be if i'm itching. i may over look the scratchy fabric as the color and fit of the top are gr,Fine gauge
1,This will be a cardigan i will wear across all seasons. if you want to layer a button down or another long sleeve shirt under it i would suggest sizing up one size. as soon as i put this on it felt like it molded to me. it's beautiful! and comfortable.,Fine gauge
1,I just purchased this adorable  unique looking sweater at my local retailer store and absolutely love it. as soon as i saw it  i knew i had to have it! it is super soft  tts so i purchased it in my regular size small and it has the cutest pockets ever. the little black buttons also add to the look but the black snails on the pockets are what's really so sweet on this one. though i'm not a fan of snails in my garden  i'll make an exception for a couple of them making a guest appearance on this swea,Fine gauge
1,I saw this in-store  tried it on  and was sold. it is not just super soft but very flattering on. i am petite  105 lbs and bought the xs in black- the sleeves are short enough that no petite size was needed. i will wear this a lot with both skirts and jeans.,Fine gauge
1,I got this sweater in white and i love it. the photo online doesn't do it justice  it's not frumpy at all and looks looks great zipped up because of the slanted zipper. my boyfriend calls it my claire underwood sweater.,Fine gauge
1,This is a very stylish cardigan but it runs small. i usually take a small but i took a medium in this. for reference i am 130 lbs  chest 36c. i fell so in love with it once i put it on but you have to watch for snags as it is extremely delicate. got the 20% off today and couldn't be happier with this purchase.,Fine gauge
1,"Wasn't expecting this to look good on when i grabbed it off the sale rack. to my surprise it's very cute. the very high up slits for the 2 front panels and the lightweight knit break up the heavy appearance of this poncho when it's on. you can slip your arms out of the sleeves to keep warm when the evening gets cooler. i love it. got the gray and black stripes on off white background. will try belting the two front panels  as another reviewer suggested. i'm 5'3"" petite. so  it doesn't swallow me",Fine gauge
1,Weather changes during a day to extremes in nela. lightweight cardigan for when little is needed that's pretty and practical  if you take a close look at photo you will see the weave is open  so could snag. nothing hidden. it is what it is-pretty  lacy  feminine.,Fine gauge
-1,The bra is comfortable and the design is good. however  the sizing is way off. i am a 34c and the small fits well with minimal support. not sure about quality. this one might have to go back :(,Intimates
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
-1,3 tags sewn in  2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however  this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!,Intimates
-1,It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
-1,"Loved how this draped and im super petite 5'1""(32b bust) and this was seriously one of the most ill fitting items i have every owned. i purchased the pxs and it was huge. i hope this has a better fit as the other reviewers seem to have a more positive review. i was just appalled as to how bad the measurements were off. unfortunately the straps are not adjustable so this went below my chest. too sad retailer  please get the fit right!!",Intimates
-1,This bra runs very small  and is hard to get on and off. i think if i went a size up i would be happier.,Intimates
-1,Material is strange. triangle top is funky. this is just not awesome in any way.,Intimates
0,"The fit is gorgeous  but i didn't realize it was completely transparent. when it says ""mesh"" it means ""mesh""! i was thinking the ""mesh"" part was on the bottom. because of how it is cut  high on the shoulders  you can't wear a cami underneath to provide coverage. very cute  but not practical.",Intimates
0,As a petite  big busted woman  i found this dress wildly unflattering. the quality and pattern of the dress itself is beautiful  though it will require a slip as it is completely transparent. the design of the bust however  i found unflattering.,Intimates
0,If your hips are bigger than a size 6 us you can't fully close this robe. the model must be wearing the larger of the two sizes to have such a nice oversized fit. the fabric is soft and lux and amazing  but the weird dart in the back and the closure is right over my sadly size 8 hips and butt. if i was taller and thinner i would have kept this and worn it every day.,Intimates
0,I have been eyeing this piece for months now! i broke down and bought it when they finally had my size in stock. i am 5 '4 and 110 lbs and have a very small chest so i ordered an xs. i think the top is too baggy for me. yes  the top and bottoms fit overall  but it doesn't look as nice and form fitting like it does on the model. it is very sheer--which is the thing that discourages me the most. i love the concept of this piece but the execution could use some work  which i am willing to work on s,Intimates
0,I wanted to love these because they are so pretty and come in lots of colors  but after only a few minutes of wearing them  i was having to pull them out of my bottom! why does women's underwear so frequently ride up? i normally wear a size 4/28  and ordered these in a m  but i guess they were still too small  which seems unreasonable to me. they are soft and pretty  but i will not be ordering more.,Intimates
0,I'm a 32-a  and i bought a small. i found that the tube portion is pretty tight  but probably needed to keep things up. because there is not a clasp in the front or back  it is really hard to get in and out of. i'd probably be ok with it  but the cups were too big for me. i think i would need to be a c to fill it.  the quality is really nice and the molded cups are a good shape. i wish i could have made it work  because it was really comfortable. i returned it in the end.,Intimates
0,I love and live in these but the recent scoop tanks i purchased were thin  not as great. so i want to recommend them because they are really versatile but the quality has deminished.,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,I'm a b-cup who hates traditional underwire bras  so i was excited to try this one out. while i appreciate that this bra has more structure and support than other wireless comfy bras  the cups provided too much coverage for my style. if you want to wear a shirt with a wide neck  or do a cute off-the-shoulder thing with your shirt  the top of the cup shows. bummer!,Intimates
1,I love this bralette. i have it in other colors as well and it is always the one i go to when i want comfort.,Intimates
1,This bra is obviously very pretty and feminine  but i was surprised that it's also really comfortable! it provides a pretty good amount of support  especially for an unlined bra  and feels pretty sturdy despite there not being much there. my 34b fit true to size.,Intimates
1,This bra is beautiful. the lace is so lovely and soft and looks fabulous on. my only criticism is it runs very small. i am a 32 a and order the size 1 and it is snug... just order a size up (or two) and it should be perfect.,Intimates
1,True to size  very pretty.  as pictured expect that it is more peachy and not this light.  i like it and will keep it but just be aware that it is not a pale pink as in the picture.,Intimates
1,This little pantie is fun and playful. its a deep maroon color with small shimmering lace details. the back is sheer but the front is more filled in and opaque. the ribbons on the sides can actually be untied which is a big plus for me. i'm a small lass  but i have a big bum so i got a medium and it fits perfectly.,Intimates
1,Love this bra! i was looking for something feminine and sexy and this is perfect. it's exactly as pictured. i was worried the material would be too delicate and fragile  but it's really durable! my only issue is that it fits a tiny bit awkwardly because of the solid material on the side  but it doesn't actually look awkward  just feels a bit odd at first. i highly recommend it if you're looking for something sweet and sexy!,Intimates
1,I typically wear an xs to s in tops and purchased an xs for a less flowy fit.  this top has a luxurious feel and the green color is really beautiful (more matte than shiny).  perfect piece to wear under a jacket or blazer.,Intimates
1,This bra is very cute and pretty comfortable. i usually wear between a 34d in elle mcpherson and this fit perfect. i got it in black and while it's really cute i was surprised how different the color looked in person vs. online. online it looked to me to have some purple to it  but it is definitely 100% black in person (just an fyi). i also thought the tassel was cute  but it does look a little cheap and flimsy in person. still a great bra.,Intimates
1,I own a couple of pairs of natori hipsters and recently purchased the yellow to go with the front close natori bra. i tried to wear thong panties but they just didn't work for me. thankfully  natori makes these lovely panties that still make me feel sexy and they are way more comfortable. they also receive rave reviews from my husband. : ),Intimates
-1,This is a cute item at a good price point  though the lack of lining in cartonnier items drives me batty. unfortunately  the wool is so itchy i could not tolerate it more than a second.,Jackets
-1,While this is cozy and well made  the problem lies with the unavoidable exposure of the inside of the poncho  which looks unfinished. had the inside been lined or had the hue of the stripes continued through the material  the draped look of this piece would be gorgeous. unfortunately  the faded backside of the pattern (a glimpse of it under model's left hand)  viewable through the very large arm holes (and impossible to hide)  disrupts the effortless  fluid feel that a poncho should have. i was,Jackets
-1,1. i like a shorter jacket  but this one was poorly made and poorly fit.  2. the sleeves were way too tight. i'm a size 10 or 12  and the large which would be a 14 had tight sleeves that wrinkled up my arms  and the hem of the sleeve turned inside out.  3. i ordered both a medium (size 10) and a large (size 14)   and neither hung right. the m too tight  and the large too loose in the body and too tight in the sleeves.  4. very polyester with lots of static.  5. cute idea  but not very good in pe,Jackets
-1,Loved the design but jacket looked like 20 years old because of a lot of piling even brand new jacket at store. i wish they use better quality fabric so i would have purchased it.,Jackets
-1,I love the photo of this and because the reviews were so positive i ordered it. i was shocked when i opened the package. first  the fabric is not the silky rayon cotton blend i was expecting. it looks and feels more like a cheap cotton. it does not have the drape or feel or look i expect in a kimono  which brings me to the second disappointment. it is not a kimono at all. it has no kimono sleeve  no sleeves at all in fact. just a slit in the side of the body of the garment you put your arm throu,Jackets
-1,"I bought this jacket based on how it looked on the model  and from the reviews. i found it to be super big  and unflattering to say the least. i'm 5""10  155lbs. i sent it back.",Jackets
-1,This blazer looks great on the model and i have a long torso so i thought it would be perfect. when i got it it looked like a big box and didn't fit anywhere. the shoulder pads were giant and the bottom of the coat was huge. i got a small based on other reviews  but it was way too big. sadly  i had to return it.,Jackets
-1,I wore this blazer for one day  didn't do anything strenuous  and the fabric started to disintegrate along the back  next to the center seam. it's completely unfixable  since it's not the seam that split but the fabric itself. what a waste of money.    as to the fit  it is a boxy cut through the waist. it looks better unbuttoned than buttoned. the jacket also shows a lot of the shirt you have under it  so it's good over something cute.    or  it would be  if it didn't fall apart.,Jackets
-1,The colors on this kimono are amazing and i really loved it  however  i too noticed the 'delicateness' of the material. it is so delicate that parts were starting to fray - including next to the kimono's label. so sad.,Jackets
0,I didn't fall in love with this jacket but it was comfortable and seems like it has potential to be flattering on many body types. for reference i tried on a medium and my measurements are 38-30-40.,Jackets
0,"For reference  i'm 113 lbs  with a short torso so i was thrilled when i saw this jacket on-line. i was expecting a soft  comfortable and polished piece. i tried on a standard size xs and the color of the khaki is muted on line  it's a little darker in person and the finishings like zipper plackets are much lighter in contrast. also  it is a ""mixed-media/material"" type. for example  it's linen with soft leather accents  which also have varying tones on the inside of the collar  on the wrist area ",Jackets
0,Slouchy relaxed fit. well sewn together and hangs well on the body. bottom hem hits upper thigh. good length and soft  easy fabric. light layering option as well. good spring jacket  can be kept on indoors without getting too hot.,Jackets
0,You guys  i love this so much! however  within one hour of wearing it  the back seam completely ripped. it fit me perfectly... sadly i&#39;ll have to return the damaged item. really sad it&#39;s all sold out too!,Jackets
0,"I really  really wanted to love this jacket. unfortunately  i have a long torso and it was a weird length on me. it hit touching my waist and i wanted something a little longer. i am 5'6""  but long waisted. this probably fits beautifully on someone more short-waisted or petite in stature. it was beautiful (although the buttons were cheap...)",Jackets
